Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status
EEE 321,ELECTRIC CIRCUIT THEORY I,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 322,ELECTRIC CIRCUIT THEORY II,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 324,LINEAR SYSTEMS,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 325,ELECTRICAL MACHINES I,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 326,ELECTRICAL MACHINES II,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 328,COMMUNICATION PRINCIPLES,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 341,SOFTWARE DEVELOPMENT TECHNIQUES,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 405,NUMERICAL COMPUTATIONS,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 415,ASSEMBLY LANGUAGE PROGRAMMING,EEE,400,FIRST,2,CORE,No,EXISTS
EEE 423,ELECTRICAL/ELECTRONICS LABORATORY III,EEE,400,FIRST,1,CORE,No,MISSING
EEE 427,DATA COMMUNICATION AND NETWORKS,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 431,ELECTRIC POWER PRINCIPLES,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 441,CONTROL THEORY AND SERVOMECHANISM,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 471,DIGITAL ELECTRONICS AND SYSTEMS,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 502,ELECTRICAL SERVICES DESIGN,EEE,500,SECOND,2,CORE,No,MISSING
EEE 504,EMBEDDED SYSTEM,EEE,500,SECOND,3,CORE,No,MISSING
EEE 506,DIGITAL SYSTEM DESIGN WITH VDHL PROGRAMMING,EEE,500,SECOND,3,ELECTIVE,Yes,MISSING
EEE 507,MODELLING AND SIMULATION OF ELECTRICAL AND ELECTRONICS SYSTEMS,EEE,500,FIRST,2,CORE,No,EXISTS
EEE 509,ADVANCED ELECTRONICS,EEE,500,FIRST,3,CORE,No,EXISTS
EEE 511,DIGITAL SIGNAL PROCESSING,EEE,500,FIRST,3,CORE,No,EXISTS
EEE 512,DIGITAL COMMUNICATION,EEE,500,SECOND,2,ELECTIVE,Yes,EXISTS
EEE 514,RELIABILITY ENGINEERING,EEE,500,SECOND,2,CORE,No,EXISTS
EEE 523,INDUSTRIAL ELECTRONICS DESIGNS,EEE,500,FIRST,3,ELECTIVE,Yes,MISSING
EEE 535,HIGH FREQUENCY AND MICROWAVE ELECTRONICS,EEE,500,FIRST,3,ELECTIVE,Yes,MISSING
EEE 553,POWER SYSTEMS ENGINEERING,EEE,500,FIRST,3,ELECTIVE,Yes,EXISTS
EEE 554,POWER SYSTEMS COMMUNICATION AND CONTROL,EEE,500,SECOND,3,ELECTIVE,Yes,EXISTS
EEE 555,HIGH VOLTAGE ENGINEERING,EEE,500,FIRST,3,ELECTIVE,Yes,EXISTS
EEE 556,ELECTRIC DRIVES AND APPLICATIONS,EEE,500,SECOND,3,ELECTIVE,Yes,MISSING
EEE 558,ELECTRICAL ENERGY CONVERSION AND STORAGE,EEE,500,SECOND,2,ELECTIVE,Yes,MISSING
EEE 561,CONTROL ENGINEERING,EEE,500,FIRST,3,CORE,No,EXISTS
EEE 562,POWER ELECTRONICS,EEE,500,SECOND,3,CORE,No,EXISTS
EEE 564,SEMINARS ON USE OF ENGINEERING SOFTWARE PACKAGES IN ELECTRICAL/ELECTRONICS FIELD,EEE,500,SECOND,1,CORE,No,MISSING
EEE 565,MODERN CONTROL ENGINEERING,EEE,500,FIRST,3,ELECTIVE,Yes,MISSING
EEE 566,CONTROL ENGINEERING III (NON-LINEAR AND PROCESS AUTOMATION),EEE,500,SECOND,3,ELECTIVE,Yes,EXISTS
EEE 576,MICROCOMPUTER TECHNOLOGY,EEE,500,SECOND,3,ELECTIVE,Yes,MISSING
EEE 578,BROADCASTING AND INTERNET TECHNOLOGY,EEE,500,SECOND,2,ELECTIVE,Yes,MISSING
EEE 599,STUDENT PROJECT,EEE,500,SECOND,6,CORE,No,MISSING
ENG 201,INTRODUCTION TO SCIENCE OF MATERIALS,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 203,STRENGTH OF MATERIALS,ENG,200,FIRST,3,CORE,No,EXISTS
ENG 204,INTRODUCTION TO MECHATRONICS ENGINEERING,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 214,FLUID MECHANICS,ENG,200,SECOND,3,CORE,No,EXISTS
ENG 221,BASIC ELECTRICAL ENGINEERING I,ENG,200,FIRST,3,CORE,No,EXISTS
ENG 222,BASIC ELECTRICAL ENGINEERING II,ENG,200,SECOND,3,CORE,No,EXISTS
ENG 223,COMPUTER APPLICATIONS,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 224,COMPUTER PROGRAMMING AND APPLICATIONS,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 231,ENGINEERING DRAWING I,ENG,200,FIRST,2,CORE,No,EXISTS
